2ME Special Engineering B.V.,1671 NC
Brunel Engineering Oil & Gas,1066 EP
Brunsmann Jacht-& Scheepsexperts,8624 TT
Brunswick Netherlands B.V.,1066 BV
BSB Staalbouw BV,9262 ND
BSM Valves BV,4823 AH
Burdock Project Consultants,2289 DC
Bureau Veritas (Netherlands),3821 AB
Bureau Veritas Marine Nederland B.V.,3011 GW
Bureau Veritas Marine NL BV,3000 BA
Bureau Veritas Marine NL BV,3000 BA
Buren NV,2517 JR
C-Nautical BV,9611 TH
C-Nautical BV,9611 TH
"C. Buitendijk BV, Scheepsbouw-en Reparatiewerf",3341 LV
"C. Buitendijk BV, Scheepsbouw-en Reparatiewerf",3341 LV
C.B. van der Woude,1851 BG
C.C. Scheepvaartonderneming Sandettie,9934 CK
C.O.R. Filtration Netherlands BV,2153 GC
C.T. Drent Beheer B.V.,9934 RZ
C.V.  m.s. Amurborg,9934 CK
C.V. Elbeborg,9934 CK
C.V. Fluvius Tamar,9936 GZ
C.V. Fluvius Taw,9936 GZ
C.V. Koningsborg,9934 CK
C.V. m.s. Avonborg,9934 CK
C.V. m.s. Eeborg,9934 CK
C.V. m.s. Fuldaborg,9934 CK
C.V. m.s. Kirsten,9934 CR
C.V. m.s. Magda,9934 CR
C.V. m.s. Mathilde,9934 CR
C.V. m.s. Menna,9934 CR
C.V. m.s. Nassauborg,9934 CK
C.V. m.s. Olga,9934 AR
C.V. ms Eems Carrier,9936 GZ
C.V. ms Eems Coast,9936 GZ
C.V. ms Eems Delfia,9936 GZ
C.V. ms Eems Dollard,9936 GZ
C.V. ms Eems Sprinter,9936 GZ
C.V. ms Eems Transporter,9936 GZ
C.V. ms Eems Traveller,9936 GZ
C.V. Rederij B. J. Kok,1721 DV
C.V. Rimini,9936 GZ
C.V. Scheepvaartbedrijf Altena,9934 CK
C.V. Scheepvaartonderneming  Isabel II,9934 CR
C.V. Scheepvaartonderneming Adamas,9933 HG
C.V. Scheepvaartonderneming Amazoneborg,9934 CK
C.V. Scheepvaartonderneming Amstelborg,9934 CK
C.V. Scheepvaartonderneming Anet,9934 CL
C.V. Scheepvaartonderneming Arneborg,9934 CK
C.V. Scheepvaartonderneming Balticborg,9934 CK
C.V. Scheepvaartonderneming Bothniaborg,9934 CK
C.V. Scheepvaartonderneming Christina Carina,9934 AR
C.V. Scheepvaartonderneming Citadel,3701 HB
C.V. Scheepvaartonderneming Claudia / Clarissa,9934 AR
C.V. Scheepvaartonderneming Diezeborg B.V.,9934 CK
C.V. Scheepvaartonderneming Doorduin,9934 CK
C.V. Scheepvaartonderneming Emma,9934 CK
C.V. Scheepvaartonderneming Flinter Pioneer,2993 LV
C.V. Scheepvaartonderneming Flinter Veritas,9936 BH
C.V. Scheepvaartonderneming Flinterbay,2993 LV
C.V. Scheepvaartonderneming Flinterbirka,2993 LV
C.V. Scheepvaartonderneming Flinterborg,9936 BH
C.V. Scheepvaartonderneming Flinterbright,2993 LV
C.V. Scheepvaartonderneming Flinterbrise,9936 BH
C.V. Scheepvaartonderneming Flintercape,2993 LV
C.V. Scheepvaartonderneming Flintercoast,2993 LV
C.V. Scheepvaartonderneming Flinterdijk,2993 LV
C.V. Scheepvaartonderneming Flinterduin,2993 LV
C.V. Scheepvaartonderneming Flinterfury,9936 BH
C.V. Scheepvaartonderneming Flinterland,2993 LV
C.V. Scheepvaartonderneming Flintermar,2993 LV
C.V. Scheepvaartonderneming Flintersky II,2993 LV
C.V. Scheepvaartonderneming Flinterstar III,2993 LV
C.V. Scheepvaartonderneming Flintersun III,2993 LV
C.V. Scheepvaartonderneming Irina II,9934 CR
C.V. Scheepvaartonderneming Jade,9934 CK
C.V. Scheepvaartonderneming Kirk,7546 LA
C.V. Scheepvaartonderneming Pacific,9728 JS
C.V. Scheepvaartonderneming Panda,9934 CK
C.V. Scheepvaartonderneming Priscilla,9934 CK
C.V. Scheepvaartonderneming Rijnborg,9934 CK
C.V. Scheepvaartonderneming Robijn,9933 HG
C.V. Scheepvaartonderneming Samira,9934 CK
C.V. Scheepvaartonderneming Sital,9934 CK
C.V. Scheepvaartonderneming Tucana,1705 EL
C.V. Scheepvaartonderneming Veltman,9934 CK
C.V. Scheepvaartonderneming Virginiaborg B.V.,9934 CK
C.V. Shipping Company Benguela Stream,9728 JS
C.V. SO Tide Navigator,8448 JB
C.V. SO Timber Navigator,8440 AS
C.V. Stavfjord,9934 CK
C.V. Taagborg,9934 CK
C.V. Timberfleet II,9934 AR
C&B More B.V.,4851 CD
C&C Yachts Benelux B.V.,1311 GB
C2,1785 AK
Callidus Group BV,8503 AD
Camping / Jachthaven De Mars,6988 BM
Camping & Jachthaven De Veenhoop,9215 VV
Camping IJsselstrand B.V.,6984 AG
Camping It Wiid B.V.,9264 TP
Camping Jachthaven Uitdam,1154 PP
Capewater C.V.,2952 BD
Carbon Energy Club,1030 BR
Caribbean Sea C.V.,2921 LA
CB&I Nederland BV,2595 AK
CCA Yachtcleaners B.V.,4311 RM
Cebo Holland BV,1976 BV
Cebo Marine B.V.,1976 BV
Cee-Bee Maritime / MerchINTs Cleaning & Services BV,8100 AB
Cee-Bee Maritime / MerchINTs Cleaning & Services BV,8100 AB
Celtic Klipper Shipping Company,9728 JS
Cemstar Shipping B.V.,3133 KP
Cenes Scheepsbouwbetimmering BV,9200 AJ
Cenes Scheepsbouwbetimmering BV,9200 AJ
Centerpoint Charters,8606 KB
Centraalstaal BV,9700 AE
Centraalstaal BV,9700 AE
Central Dredging Association (CEDA),2629 HD
CEVA Showfreight,6604 LH
CFL Martini Beheer B.V.,9712 AC
CFL Marvel Beheer B.V.,9712 AC
CFL Merchant Beheer B.V.,9712 AC
CFL Momentum Beheer B.V.,9712 AC
CFL More Beheer B.V.,9712 AC
CFL Motion Beheer B.V.,9712 AC
Chain Technology Project Services BV,2623 CR
Changuinola Bay Shipping Company B.V.,9728 JS
Charente Shipping B.V.,9936 GZ
Charlois Scheepswerf,3625 AB
Chartworx BV,1780 AJ
Chartworx BV,1780 AJ
CHC Industry,4207 HE
Chemgas Shipping B.V.,3016 BE
Chemship B.V.,2908 LJ
Chubb Fire & Security,1090 GC
Chubb Fire & Security,1090 GC
Chugoku Paints BV,4793 ZH
Chugoku Paints BV,4793 ZH
CIG Maritime Technology,9700 AE
CIG Maritime Technology,9700 AE
CIG Maritime Technology,9723 BX
Cirmac International BV,7324 BX
Cito Shipping C.V.,8861 SW
City Marina Rotterdam B.V.,3071 AX
Claasen Shipyard B.V.,1509 BT
Clearwater Group,2952 BD
Cliffwater C.V.,2952 BD
CMS Derks Star Busmann NV,1096 BC
CNGS Group,2555 CD
Coastal Motor Boats,8899 CB
Coastalwater Shipping Company C.V.,2952 BD
Cobaltwater C.V.,2952 BD
Cofely West Industrie BV,3008 PC
Cofely West Industrie BV,3008 PC
Coil Services BV,7825 AL
Cold Stream Shipping Co. N.V.,9728 JS
Combi Jachtbouw,1601 EX
Combimac BV,7801 CA
Combimac BV,7801 CA
Comfortis Scheepsstoffeerderij,8721 GB
Comfortparc Wessem,6019 AA
Compagnieshaven Enkhuizen B.V.,1601 ZA
Compressor Systems Holland (CSH) BV,4131 MD
Conautic Maritime Agency B.V.,3191 AA
Conbit Engineering BV,5626 EI
Concordia Shipyards BV,4250 DB
Concordia Shipyards BV,4250 DB
Confidence Shipmanagement Company B.V.,2909 VA
Conhold B.V.,1671 GD
Conoship International BV,9702 HA
Conoship International BV,9702 HA
Conquest Offshore BV,4251 NL
Conradi en Fopma,9003 MC
Contessa Marina B.V.,8376 HL
Contest Brokerage B.V.,1671 GD
Control Techniques BV,3364 DG
Control Techniques BV,3364 DG
Conway & Partners NV,3072 MD
Conyplex BV,1671 GD
Coolwater C.V.,2952 BD
Cooperyacht B.V.,3631 NA
Coops en Nieborg BV,9600 AE
Coops en Nieborg BV,9600 AE
Copernicos Groep BV,7420 AD
Copernicos Groep BV,7420 AD
Copier Bevelmachines,4283 JJ
Coppename Shipping Company B.V.,9728 JS
Coral Leaf Shipping B.V.,3016 BE
Coral Palmata Shipping B.V.,3016 BE
Coral Pavona Shipping B.V.,3016 BE
Coralwater C.V.,2952 BD
Corba Watersport,1135 CP
Coronam BV,1507 DV
Correct Marine BV,3051 KA
Corrosion & Water-Control bv,2750 AA
Corrosion & Water-Control bv,2750 AA
Cramm Yacht Systems B.V.,9041 VC
Cramm Yachting Systems,8901 BH
Cramm Yachting Systems,8901 BH
Cressi / Enki,2011 AN
Croon Elektrotechniek B.V.,3316 GC
Croon Elektrotechniek BV,3316 GC
Croon Elektrotechniek BV,3300 AC
Croon Elektrotechniek BV,3300 AC
Crown Mary Shipping B.V.,3335 LR
CRS Rebecca B.V.,1033 NW
CS Rigging,1507 CB
CSI Control Systems,3133 EJ
CSI Control Systems,3133 EJ
Cummins Holland BV,3300 AM
Cummins Holland BV,3300 AM
d'Anckerplaets,1033 RC
Dagin Marine Technology,2400 MO
Dagin Marine Technology,2400 MO
Damen Anchor & Chain Factory (AKF),3100 AA
